,f,P
1888,-107.8125,-186.84111834010577
1889,-107.763671875,-185.44475808345248
1890,-107.71484375,-186.58426681540544
1891,-107.666015625,-187.80452510039888
1892,-107.6171875,-186.7147724848822
1893,-107.568359375,-186.85252878203676
1894,-107.51953125,-184.89008523302826
1895,-107.470703125,-188.2942105511189
1896,-107.421875,-187.81934189440136
1897,-107.373046875,-188.0862129966947
1898,-107.32421875,-189.4537054518901
1899,-107.275390625,-184.80910399474303
1900,-107.2265625,-189.6909922737076
1901,-107.177734375,-186.8638255461063
1902,-107.12890625,-188.58968729692901
1903,-107.080078125,-188.47585213321995
1904,-107.03125,-190.67814355402484
1905,-106.982421875,-186.9646505009142
1906,-106.93359375,-186.40974549526086
1907,-106.884765625,-185.1404736781382
1908,-106.8359375,-189.02953568404956
1909,-106.787109375,-188.43163839854975
1910,-106.73828125,-187.02004059348684
1911,-106.689453125,-188.47408558344262
1912,-106.640625,-186.4822902658217
1913,-106.591796875,-189.296593736573
1914,-106.54296875,-186.7746409747385
1915,-106.494140625,-188.15786959978107
1916,-106.4453125,-188.48642226181758
1917,-106.396484375,-185.9362681666103
1918,-106.34765625,-187.8660137476175
1919,-106.298828125,-185.2362247569142
1920,-106.25,-188.74219357236396
1921,-106.201171875,-189.63289273254293
1922,-106.15234375,-189.2386180704509
1923,-106.103515625,-185.8425056419925
1924,-106.0546875,-185.54772775969994
1925,-106.005859375,-188.6044861443695
1926,-105.95703125,-187.90917912621157
1927,-105.908203125,-189.91070390719983
1928,-105.859375,-188.35405557530237
1929,-105.810546875,-187.07330146284903
1930,-105.76171875,-190.575870763436
1931,-105.712890625,-184.7665464880889
1932,-105.6640625,-184.86431843937547
1933,-105.615234375,-188.59297047692786
1934,-105.56640625,-185.1546881986643
1935,-105.517578125,-189.20729663148452
1936,-105.46875,-187.08856920811164
1937,-105.419921875,-186.41939403951025
1938,-105.37109375,-187.24200450923882
1939,-105.322265625,-188.57984551861549
1940,-105.2734375,-190.45751588295522
1941,-105.224609375,-187.45167440961526
1942,-105.17578125,-186.9079707418264
1943,-105.126953125,-188.01442542252482
1944,-105.078125,-188.87420882348286
1945,-105.029296875,-185.49508123925662
1946,-104.98046875,-185.85563123927534
1947,-104.931640625,-187.9122547749467
1948,-104.8828125,-186.75344080305237
1949,-104.833984375,-185.6245156501122
1950,-104.78515625,-189.4182331431314
1951,-104.736328125,-187.85844879762635
1952,-104.6875,-187.8613905823324
1953,-104.638671875,-188.1235710986624
1954,-104.58984375,-185.79468633370706
1955,-104.541015625,-191.14469261336416
1956,-104.4921875,-186.23327184228137
1957,-104.443359375,-187.30841979803822
1958,-104.39453125,-186.9470970584113
1959,-104.345703125,-187.1220962784778
1960,-104.296875,-189.08635993120916
1961,-104.248046875,-186.3393088766732
1962,-104.19921875,-186.46833325273522
1963,-104.150390625,-189.4377892545152
1964,-104.1015625,-186.03053258674362
1965,-104.052734375,-187.07951297261414
1966,-104.00390625,-186.267883122313
1967,-103.955078125,-189.14474823504713
1968,-103.90625,-185.4176907445566
1969,-103.857421875,-188.59417440049398
1970,-103.80859375,-187.07041226006754
1971,-103.759765625,-186.169090489881
1972,-103.7109375,-189.90954042800868
1973,-103.662109375,-187.81009751087754
1974,-103.61328125,-187.72584109738716
1975,-103.564453125,-188.97445237602807
1976,-103.515625,-187.92419419830549
1977,-103.466796875,-186.9048593956456
1978,-103.41796875,-184.55518864630358
1979,-103.369140625,-190.5985239901006
1980,-103.3203125,-188.91967047736165
1981,-103.271484375,-184.5507241714634
1982,-103.22265625,-187.7990810933512
1983,-103.173828125,-190.59462346221292
1984,-103.125,-186.14734026467673
1985,-103.076171875,-183.76824585678114
1986,-103.02734375,-185.7444285249228
1987,-102.978515625,-188.89770280938887
1988,-102.9296875,-186.44421864375087
1989,-102.880859375,-184.54375670530035
1990,-102.83203125,-186.38719231783236
1991,-102.783203125,-185.08952296474993
1992,-102.734375,-187.8237653855394
1993,-102.685546875,-188.9256266287867
1994,-102.63671875,-185.0387358956956
1995,-102.587890625,-188.05037487674159
1996,-102.5390625,-186.76257984207496
1997,-102.490234375,-186.0450976795512
1998,-102.44140625,-189.21100792055313
1999,-102.392578125,-187.07676819127678
2000,-102.34375,-188.54390205119694
2001,-102.294921875,-190.30884042581988
2002,-102.24609375,-188.07557949231307
2003,-102.197265625,-186.06543371289825
2004,-102.1484375,-185.52310533119964
2005,-102.099609375,-185.94912639719456
2006,-102.05078125,-186.922083238028
2007,-102.001953125,-186.6899165737969
2008,-101.953125,-189.14661632894402
2009,-101.904296875,-187.3231762337713
2010,-101.85546875,-188.7446838164295
2011,-101.806640625,-189.4813854876196
2012,-101.7578125,-187.41616870335795
2013,-101.708984375,-190.9185012083305
2014,-101.66015625,-186.9989362956457
2015,-101.611328125,-186.6003915620894
2016,-101.5625,-187.31577791418835
2017,-101.513671875,-187.84984925651653
2018,-101.46484375,-188.31710517561666
2019,-101.416015625,-189.1922836194851
2020,-101.3671875,-188.16851501937407
2021,-101.318359375,-186.80513928971982
2022,-101.26953125,-187.56147487088097
2023,-101.220703125,-188.76269753233674
2024,-101.171875,-189.77708354071842
2025,-101.123046875,-184.99931042542144
2026,-101.07421875,-188.54064958170125
2027,-101.025390625,-186.1978656411833
2028,-100.9765625,-186.88529362758285
2029,-100.927734375,-186.41982171829258
2030,-100.87890625,-185.29079703810098
2031,-100.830078125,-188.31656307008112
2032,-100.78125,-187.9692909454899
2033,-100.732421875,-187.20107704129106
2034,-100.68359375,-186.30978922527524
2035,-100.634765625,-184.702486966679
2036,-100.5859375,-187.89086865831254
2037,-100.537109375,-188.56425463827867
2038,-100.48828125,-187.94001344164988
2039,-100.439453125,-188.44396010516022
2040,-100.390625,-185.15845111622474
2041,-100.341796875,-186.06434409199483
2042,-100.29296875,-185.98521972739704
2043,-100.244140625,-188.9462626302475
2044,-100.1953125,-189.010100459908
2045,-100.146484375,-185.59745508219765
2046,-100.09765625,-188.56445614908523
2047,-100.048828125,-187.58385989747663
2048,-100.0,-189.2750411264806
2049,-99.951171875,-188.2481199364096
2050,-99.90234375,-189.35804643467029
2051,-99.853515625,-187.59774528079114
2052,-99.8046875,-190.40715617382506
2053,-99.755859375,-188.97849026182655
2054,-99.70703125,-186.78797792326006
2055,-99.658203125,-191.04323324399033
2056,-99.609375,-188.39166157745962
2057,-99.560546875,-188.56600559162231
2058,-99.51171875,-189.20720618583016
2059,-99.462890625,-189.43384800040732
2060,-99.4140625,-188.18845224818185
2061,-99.365234375,-186.3250086931891
2062,-99.31640625,-187.31537376486312
2063,-99.267578125,-189.4785082574216
2064,-99.21875,-187.60739643571537
2065,-99.169921875,-187.88745952342956
2066,-99.12109375,-184.86668200313403
2067,-99.072265625,-187.81559616336972
2068,-99.0234375,-189.14944333986787
2069,-98.974609375,-188.11340639192107
2070,-98.92578125,-187.76789815961132
2071,-98.876953125,-189.32671831523803
2072,-98.828125,-186.2984019539114
2073,-98.779296875,-188.651517582354
2074,-98.73046875,-190.06332454250648
2075,-98.681640625,-189.24015873577557
2076,-98.6328125,-186.8725721618229
2077,-98.583984375,-185.9340007885646
2078,-98.53515625,-189.16048154791497
2079,-98.486328125,-185.86832081327077
2080,-98.4375,-187.61929483065148
2081,-98.388671875,-187.26997725991322
2082,-98.33984375,-184.39797312487298
2083,-98.291015625,-188.09459993852488
2084,-98.2421875,-188.03211952937434
2085,-98.193359375,-186.79342450442775
2086,-98.14453125,-186.33859141083775
2087,-98.095703125,-187.88516548354946
2088,-98.046875,-189.60548250458908
2089,-97.998046875,-189.2155340752098
2090,-97.94921875,-186.92715224691236
2091,-97.900390625,-187.9342229771935
2092,-97.8515625,-187.88180322164442
2093,-97.802734375,-185.1515986605631
2094,-97.75390625,-187.6908347558971
2095,-97.705078125,-188.39081797881738
2096,-97.65625,-185.94211932667463
2097,-97.607421875,-184.47775898132485
2098,-97.55859375,-187.6190604415386
2099,-97.509765625,-189.27943497968954
2100,-97.4609375,-188.7234728918602
2101,-97.412109375,-188.13321662210546
2102,-97.36328125,-185.45174243464484
2103,-97.314453125,-184.6912169153962
2104,-97.265625,-188.02158619953923
2105,-97.216796875,-185.86082682830533
2106,-97.16796875,-188.54134176818053
2107,-97.119140625,-187.7717510007553
2108,-97.0703125,-187.21692547200243
2109,-97.021484375,-190.9737596003388
2110,-96.97265625,-187.11257673880652
2111,-96.923828125,-189.55553610868728
2112,-96.875,-189.7704303814645
2113,-96.826171875,-188.43698500555612
2114,-96.77734375,-186.2452423626912
2115,-96.728515625,-189.15957750936525
2116,-96.6796875,-189.84577748805145
2117,-96.630859375,-188.34082567025277
2118,-96.58203125,-185.948977501675
2119,-96.533203125,-189.11312789740603
2120,-96.484375,-185.56275449289157
2121,-96.435546875,-190.03339205714545
2122,-96.38671875,-186.6510748223208
2123,-96.337890625,-186.97858110008875
2124,-96.2890625,-189.84064683456185
2125,-96.240234375,-184.35717390453192
2126,-96.19140625,-187.84556749475897
2127,-96.142578125,-186.74543079273596
2128,-96.09375,-188.9294323199953
2129,-96.044921875,-187.2212326140621
2130,-95.99609375,-186.69612636773053
2131,-95.947265625,-188.79428251294746
2132,-95.8984375,-187.97744628874932
2133,-95.849609375,-186.08056530970998
2134,-95.80078125,-186.62008939372382
2135,-95.751953125,-188.26693901100302
2136,-95.703125,-186.9805269931803
2137,-95.654296875,-186.9914072117145
2138,-95.60546875,-190.88354687513325
2139,-95.556640625,-186.06332531385385
2140,-95.5078125,-187.57753265435218
2141,-95.458984375,-185.7637534418981
2142,-95.41015625,-186.65241257771498
2143,-95.361328125,-185.58515912720821
2144,-95.3125,-188.7489030664539
2145,-95.263671875,-188.2262499715589
2146,-95.21484375,-188.517445074532
2147,-95.166015625,-188.52120413329448
2148,-95.1171875,-189.51489679965127
2149,-95.068359375,-186.71829133681268
2150,-95.01953125,-186.48619457000555
2151,-94.970703125,-189.3358766340598
2152,-94.921875,-186.39568380814984
2153,-94.873046875,-189.56646562396722
2154,-94.82421875,-185.52280456255417
2155,-94.775390625,-187.72037018440636
2156,-94.7265625,-185.59436058212668
2157,-94.677734375,-186.4255724952956
2158,-94.62890625,-186.75753788889648
2159,-94.580078125,-188.59459024524486
2160,-94.53125,-189.1545964225528
2161,-94.482421875,-186.8663070714948
2162,-94.43359375,-184.85574940251786
2163,-94.384765625,-187.4058753249821
2164,-94.3359375,-188.12412401535667
2165,-94.287109375,-188.39165898570786
2166,-94.23828125,-189.41083451927102
2167,-94.189453125,-185.3656831719897
2168,-94.140625,-186.46518630014893
2169,-94.091796875,-184.13932596989997
2170,-94.04296875,-191.2978636919208
2171,-93.994140625,-188.27038254513616
2172,-93.9453125,-188.42906132025152
2173,-93.896484375,-186.33141153656348
2174,-93.84765625,-188.5914486312203
2175,-93.798828125,-189.0049980326447
2176,-93.75,-185.79354057670255
2177,-93.701171875,-189.76524074785925
2178,-93.65234375,-185.03292673428385
2179,-93.603515625,-185.2966344770781
2180,-93.5546875,-188.85157079611474
2181,-93.505859375,-186.53851267544974
2182,-93.45703125,-184.36450649496416
2183,-93.408203125,-185.2296426378399
2184,-93.359375,-187.27326779334663
2185,-93.310546875,-188.33539731163862
2186,-93.26171875,-186.38052165916093
2187,-93.212890625,-188.22929500000453
2188,-93.1640625,-187.43318164752642
2189,-93.115234375,-184.81019260277554
2190,-93.06640625,-185.95108144002643
2191,-93.017578125,-188.47801342457112
2192,-92.96875,-189.66021034887038
2193,-92.919921875,-188.16992642409454
2194,-92.87109375,-188.8829000309284
2195,-92.822265625,-186.40196782036483
2196,-92.7734375,-187.93701770134246
2197,-92.724609375,-186.89153346144315
2198,-92.67578125,-187.80449493328118
2199,-92.626953125,-187.81098908862532
2200,-92.578125,-187.56407003732033
2201,-92.529296875,-185.9137498777044
2202,-92.48046875,-188.01937022603082
2203,-92.431640625,-189.71284679079136
2204,-92.3828125,-186.89344393938063
2205,-92.333984375,-187.44140463767081
2206,-92.28515625,-189.60519988367872
2207,-92.236328125,-187.27610103337418
2208,-92.1875,-189.19893531162072
2209,-92.138671875,-187.77798633006464
2210,-92.08984375,-188.87251661588755
2211,-92.041015625,-188.94804536328368
2212,-91.9921875,-188.60421083359077
2213,-91.943359375,-187.76461549331938
