Var1,Var2
-0.482421875,-151.122074874603
-0.482177734375,-151.121728406714
-0.48193359375,-151.121376812471
-0.481689453125,-151.121020093752
-0.4814453125,-151.120658254299
-0.481201171875,-151.120291286018
-0.48095703125,-151.119919193829
-0.480712890625,-151.119541978844
-0.48046875,-151.119159632709
-0.480224609375,-151.118772165136
-0.47998046875,-151.118379566441
-0.479736328125,-151.117981842226
-0.4794921875,-151.117578990536
-0.479248046875,-151.117171010929
-0.47900390625,-151.116757900877
-0.478759765625,-151.116339661232
-0.478515625,-151.115916293794
-0.478271484375,-151.115487795224
-0.47802734375,-151.11505416452
-0.477783203125,-151.114615403639
-0.4775390625,-151.114171510525
-0.477294921875,-151.113722484158
-0.47705078125,-151.113268326599
-0.476806640625,-151.112809030923
-0.4765625,-151.112344609615
-0.476318359375,-151.111875048456
-0.47607421875,-151.111400353915
-0.475830078125,-151.110920521515
-0.4755859375,-151.110435554607
-0.475341796875,-151.10994545084
-0.47509765625,-151.109450208874
-0.474853515625,-151.108949829971
-0.474609375,-151.108444309473
-0.474365234375,-151.107933653746
-0.47412109375,-151.107417856762
-0.473876953125,-151.106896918205
-0.4736328125,-151.106370841409
-0.473388671875,-151.105839619913
-0.47314453125,-151.105303258296
-0.472900390625,-151.104761754505
-0.47265625,-151.104215104528
-0.472412109375,-151.103663313106
-0.47216796875,-151.103106374015
-0.471923828125,-151.102544290749
-0.4716796875,-151.101977060595
-0.471435546875,-151.101404684738
-0.47119140625,-151.10082716138
-0.470947265625,-151.100244488382
-0.470703125,-151.099656668158
-0.470458984375,-151.099063697471
-0.47021484375,-151.098465577134
-0.469970703125,-151.097862304926
-0.4697265625,-151.097253882448
-0.469482421875,-151.096640306293
-0.46923828125,-151.096021576607
-0.468994140625,-151.095397695757
-0.46875,-151.094768656731
-0.468505859375,-151.094134466156
-0.46826171875,-151.093495115246
-0.468017578125,-151.092850609045
-0.4677734375,-151.092200944792
-0.467529296875,-151.091546124844
-0.46728515625,-151.090886142244
-0.467041015625,-151.090220998698
-0.466796875,-151.089550699964
-0.466552734375,-151.08887523609
-0.46630859375,-151.088194609253
-0.466064453125,-151.087508821417
-0.4658203125,-151.086817867368
-0.465576171875,-151.086121749634
-0.46533203125,-151.085420466724
-0.465087890625,-151.084714016771
-0.46484375,-151.08400239893
-0.464599609375,-151.083285612879
-0.46435546875,-151.082563658848
-0.464111328125,-151.081836533978
-0.4638671875,-151.081104238855
-0.463623046875,-151.080366772617
-0.46337890625,-151.079624132493
-0.463134765625,-151.07887632148
-0.462890625,-151.078123333336
-0.462646484375,-151.077365170835
-0.46240234375,-151.07660183289
-0.462158203125,-151.075833317141
-0.4619140625,-151.075059624827
-0.461669921875,-151.074280753153
-0.46142578125,-151.07349670179
-0.461181640625,-151.072707468394
-0.4609375,-151.07191305423
-0.460693359375,-151.07111345944
-0.46044921875,-151.07030867787
-0.460205078125,-151.069498712955
-0.4599609375,-151.068683563511
-0.459716796875,-151.067863226188
-0.45947265625,-151.067037704054
-0.459228515625,-151.066206989808
-0.458984375,-151.065371089291
-0.458740234375,-151.064529997616
-0.45849609375,-151.063683713745
-0.458251953125,-151.062832238254
-0.4580078125,-151.061975568631
-0.457763671875,-151.061113704827
-0.45751953125,-151.060246644489
-0.457275390625,-151.059374391498
-0.45703125,-151.058496936494
